"","sample_1","sample_2","sample_3","sample_13","sample_14","sample_15"
"ENSGMOG00000011446",1.2349557475502,0.47576171758192,1.27122677101456,0.745834423927396,1.36904193172663,1.19450855789144
"ENSGMOG00000011447",1.81875301002848,1.68498941643597,1.87979277841515,1.79678293037054,1.44957381006349,2.1578219110297
"ENSGMOG00000011448",1.4594931561957,1.70481282133521,1.33884521628129,1.62727510675068,2.27502556301631,2.52388098522223
"ENSGMOG00000011449",21.7576748977481,19.9225219237429,17.0398482072165,25.4600751077034,25.8507329461322,25.7397327958542
"ENSGMOG00000011450",2401.40513172267,2166.77744910726,2405.3774297844,2307.74731389026,2288.39385482023,2303.57122135951
"ENSGMOG00000011451",62.7582057164149,63.6133063216826,61.6139273270462,66.2436574706423,60.7814351747454,62.7887643575516
"ENSGMOG00000011452",15.3134512696225,11.4182812219661,13.2261678941728,11.8146953063044,12.6636378684713,13.4285881427473
"ENSGMOG00000011453",3.59259853832787,3.17174478387947,2.73178518877597,3.39015647239725,3.32193998139549,3.10186899710519
"ENSGMOG00000011454",5.27662910316905,4.57920653172598,4.81443330299132,6.01752773850513,6.44255026694884,5.66428251645295
"ENSGMOG00000011455",5.81551888391823,6.30384275796044,5.16604921837832,5.84801991488526,6.90560856738578,5.9147439882689
"ENSGMOG00000011456",11.20441669141,14.4909089813493,10.38619319297,12.4249234713359,13.8313501043558,17.1084451517354
"ENSGMOG00000011457",28.5836121205711,26.603009374789,29.1435499099615,24.9685024192058,28.729747596675,29.8049151460977
"ENSGMOG00000011458",2.22292034559037,0.8920532204661,2.40721665149566,3.50881194893116,3.76486531224823,3.66059074192538
"ENSGMOG00000011459",54.3155991513444,64.6044765666449,54.7168459098395,54.378109817252,53.3926353373385,49.552838885432
"ENSGMOG00000011460",2.11065164126762,1.72463622623446,1.33884521628129,1.8476352774565,2.33542447176895,2.23488697928076
"ENSGMOG00000011461",0,0,0.0270473781066928,0.0169507823619863,0.0805318783368604,0.0963313353138257
"ENSGMOG00000011462",1.01041833890471,1.16958088905555,1.04132405710767,2.15274935997226,2.01329695842151,1.73396403564886
"ENSGMOG00000011463",2191.7994607521,1878.00990993993,2095.29276348022,1827.24348627503,2061.3946227582,1823.91823656491
"ENSGMOG00000011464",0.0224537408645492,0.0198234048992467,0.0405710671600392,0.0339015647239725,0,0.0192662670627651
"ENSGMOG00000011465",2.04329041867397,2.3788085879096,1.8662690893618,2.23750327178219,2.45622228927424,2.02295804159034
"ENSGMOG00000011466",23.2620755356729,24.2836710015772,27.1961386862796,21.7139522057044,21.4416126071891,21.655284178548
"ENSGMOG00000011467",399.294873794278,343.836957977434,398.272642621051,333.099824195392,375.077223353927,340.43493899906
"ENSGMOG00000011468",289.271543557987,303.436858792769,291.976446661749,320.742703853504,294.827206591246,307.817148861799
"ENSGMOG00000011469",95.7652047873022,89.8396710033859,87.1872233269242,96.9415243281995,86.6523010904618,88.432165818092
"ENSGMOG00000011470",10.3062670568281,8.26635984298586,9.45305864828913,7.10237780967225,7.95252298576497,7.91843576279648
"ENSGMOG00000011471",57.4815766132459,48.1510505002702,58.7874763148968,52.4118190632615,51.6008010443433,52.2115837400935
"ENSGMOG00000011472",190.385268790512,181.820269735891,195.282069930322,190.255581230934,195.712597328155,192.93239836653
