ENSGMOG00000000407,ENSGMOT00000000429.1
ENSGMOG00000000408,ENSGMOT00000000421.1
ENSGMOG00000000409,ENSGMOT00000000424.1
ENSGMOG00000000410,ENSGMOT00000000423.1
ENSGMOG00000000411,ENSGMOT00000000420.1
ENSGMOG00000000412,ENSGMOT00000000425.1
ENSGMOG00000000413,ENSGMOT00000000426.1
ENSGMOG00000000414,ENSGMOT00000000433.1
ENSGMOG00000000415,ENSGMOT00000000422.1
ENSGMOG00000000416,ENSGMOT00000000440.1
ENSGMOG00000000417,ENSGMOT00000000427.1
ENSGMOG00000000418,ENSGMOT00000000450.1
ENSGMOG00000000419,ENSGMOT00000000430.1
ENSGMOG00000000419,ENSGMOT00000000447.1
ENSGMOG00000000420,ENSGMOT00000000431.1
ENSGMOG00000000421,ENSGMOT00000000441.1
ENSGMOG00000000422,ENSGMOT00000000438.1
ENSGMOG00000000423,ENSGMOT00000000435.1
ENSGMOG00000000424,ENSGMOT00000000444.1
ENSGMOG00000000425,ENSGMOT00000000437.1
ENSGMOG00000000426,ENSGMOT00000000448.1
ENSGMOG00000000427,ENSGMOT00000000449.1
ENSGMOG00000000428,ENSGMOT00000000453.1
ENSGMOG00000000429,ENSGMOT00000000443.1
ENSGMOG00000000430,ENSGMOT00000000454.1
ENSGMOG00000000431,ENSGMOT00000000442.1
ENSGMOG00000000432,ENSGMOT00000000452.1
ENSGMOG00000000433,ENSGMOT00000000459.1
ENSGMOG00000000434,ENSGMOT00000000451.1
ENSGMOG00000000435,ENSGMOT00000000455.1
ENSGMOG00000000436,ENSGMOT00000000483.1
ENSGMOG00000000437,ENSGMOT00000000551.1
ENSGMOG00000000437,ENSGMOT00000000584.1
ENSGMOG00000000437,ENSGMOT00000000613.1
ENSGMOG00000000437,ENSGMOT00000000649.1
ENSGMOG00000000438,ENSGMOT00000000457.1
ENSGMOG00000000439,ENSGMOT00000000456.1
ENSGMOG00000000440,ENSGMOT00000000472.1
ENSGMOG00000000441,ENSGMOT00000000470.1
ENSGMOG00000000442,ENSGMOT00000000460.1
ENSGMOG00000000443,ENSGMOT00000000467.1
ENSGMOG00000000444,ENSGMOT00000000458.1
ENSGMOG00000000445,ENSGMOT00000000462.1
ENSGMOG00000000446,ENSGMOT00000000476.1
ENSGMOG00000000447,ENSGMOT00000000469.1
ENSGMOG00000000448,ENSGMOT00000000497.1
ENSGMOG00000000449,ENSGMOT00000000461.1
ENSGMOG00000000450,ENSGMOT00000000463.1
ENSGMOG00000000451,ENSGMOT00000000465.1
ENSGMOG00000000452,ENSGMOT00000000572.1
ENSGMOG00000000453,ENSGMOT00000000471.1
ENSGMOG00000000454,ENSGMOT00000000473.1
ENSGMOG00000000455,ENSGMOT00000000468.1
ENSGMOG00000000456,ENSGMOT00000000464.1
ENSGMOG00000000457,ENSGMOT00000000466.1
ENSGMOG00000000458,ENSGMOT00000000481.1
ENSGMOG00000000459,ENSGMOT00000000482.1
ENSGMOG00000000460,ENSGMOT00000000513.1
ENSGMOG00000000461,ENSGMOT00000000478.1
ENSGMOG00000000462,ENSGMOT00000000474.1
ENSGMOG00000000463,ENSGMOT00000000475.1
ENSGMOG00000000464,ENSGMOT00000000484.1
ENSGMOG00000000465,ENSGMOT00000000489.1
ENSGMOG00000000466,ENSGMOT00000000477.1
ENSGMOG00000000467,ENSGMOT00000000486.1
ENSGMOG00000000468,ENSGMOT00000000479.1
ENSGMOG00000000469,ENSGMOT00000000496.1
ENSGMOG00000000470,ENSGMOT00000000480.1
ENSGMOG00000000471,ENSGMOT00000000490.1
ENSGMOG00000000472,ENSGMOT00000000487.1
ENSGMOG00000000473,ENSGMOT00000000491.1
ENSGMOG00000000474,ENSGMOT00000000485.1
ENSGMOG00000000475,ENSGMOT00000000488.1
ENSGMOG00000000476,ENSGMOT00000000493.1
ENSGMOG00000000477,ENSGMOT00000000512.1
ENSGMOG00000000478,ENSGMOT00000000494.1
ENSGMOG00000000479,ENSGMOT00000000500.1
ENSGMOG00000000480,ENSGMOT00000000495.1
ENSGMOG00000000481,ENSGMOT00000000492.1
ENSGMOG00000000482,ENSGMOT00000000504.1
ENSGMOG00000000483,ENSGMOT00000000509.1
ENSGMOG00000000484,ENSGMOT00000000498.1
ENSGMOG00000000485,ENSGMOT00000000609.1
ENSGMOG00000000485,ENSGMOT00000000635.1
ENSGMOG00000000485,ENSGMOT00000000654.1
ENSGMOG00000000486,ENSGMOT00000000503.1
ENSGMOG00000000487,ENSGMOT00000000508.1
ENSGMOG00000000488,ENSGMOT00000000507.1
ENSGMOG00000000489,ENSGMOT00000000505.1
ENSGMOG00000000490,ENSGMOT00000000499.1
ENSGMOG00000000491,ENSGMOT00000000526.1
