ID	sample_2	sample_7	sample_13	sample_19	sample_26	sample_32	sample_45
ENSGMOG00000006061	25	100	5	34	23	20	2
ENSGMOG00000006071	212	370	2	83	340	363	36
ENSGMOG00000006078	1757	4042	1601	3644	2599	1263	2182
ENSGMOG00000006114	344	618	762	414	362	120	460
ENSGMOG00000006149	33	63	18	70	65	5	26
ENSGMOG00000006171	2762	4022	3031	1457	2330	344	3168
ENSGMOG00000006210	289	404	309	1070	329	339	291
ENSGMOG00000006238	7	8	9	15	22	14	1
ENSGMOG00000006249	175	469	387	378	605	199	130
ENSGMOG00000006267	697	605	625	456	401	256	617
ENSGMOG00000006293	522	597	434	444	441	384	1018
ENSGMOG00000006308	0	1	19	5	4	2	1
ENSGMOG00000006321	1298	417	324	247	127	99	59
ENSGMOG00000006328	70	211	118	67	191	272	27
ENSGMOG00000006350	4	2	3	4	6	7	2
ENSGMOG00000006369	1	0	2	0	0	0	0
ENSGMOG00000006397	15	38	51	10	35	7	5
ENSGMOG00000006411	3069	2792	2272	1789	1420	982	2670
ENSGMOG00000006428	0	0	0	0	1	0	0
ENSGMOG00000006439	521	914	1162	1029	934	926	373
ENSGMOG00000006452	2	0	1	0	0	0	0
ENSGMOG00000006465	328	364	218	448	320	79	212
ENSGMOG00000006472	204	805	610	432	271	184	189
ENSGMOG00000006481	457	414	472	185	62	134	320
ENSGMOG00000006525	235	238	256	102	32	24	171
ENSGMOG00000006562	120	191	25	38	35	82	105
ENSGMOG00000006574	16224	12038	7458	8258	6037	4346	16031
ENSGMOG00000006620	601	581	632	226	734	391	525
ENSGMOG00000020453	7	39	14	3	10	12	18
ENSGMOG00000006644	124	149	212	85	172	106	504
ENSGMOG00000006653	0	0	6	0	0	0	4
ENSGMOG00000006662	628	673	659	612	559	135	1103
ENSGMOG00000006678	260	543	507	426	732	372	422
ENSGMOG00000006694	0	11	2	0	0	0	2
ENSGMOG00000006718	0	0	0	0	5	0	0
ENSGMOG00000006726	0	0	0	0	0	0	0
ENSGMOG00000006756	13	2	0	0	3	0	0
ENSGMOG00000006784	0	1	1	0	0	0	0
ENSGMOG00000006794	170	227	197	81	132	38	359
ENSGMOG00000006828	1511	1752	1198	1023	519	301	197
ENSGMOG00000006874	1552	1933	1673	1311	1149	226	3612
ENSGMOG00000006952	3480	2933	2945	2648	2299	422	3739
ENSGMOG00000007009	109	223	143	103	196	75	486
ENSGMOG00000001240	4	7	0	2	0	0	1
ENSGMOG00000001312	0	0	0	0	0	0	0
ENSGMOG00000019951	4	10	18	1	6	6	10
ENSGMOG00000001318	0	0	0	1	8	0	1
ENSGMOG00000001463	1	10	6	2	7	0	7
ENSGMOG00000001489	5461	3839	2171	2155	1482	1392	4632
ENSGMOG00000001525	3	6	0	0	0	0	0
ENSGMOG00000001551	0	0	0	0	0	0	1
ENSGMOG00000001576	6	2	13	6	0	11	0
ENSGMOG00000001631	2188	1963	1278	863	1056	82	1257
ENSGMOG00000001656	46	131	77	34	51	12	51
ENSGMOG00000001768	91	118	82	41	55	16	189
ENSGMOG00000001785	92	202	102	100	46	6	124
ENSGMOG00000001838	747	1468	1322	790	641	482	2979
ENSGMOG00000001945	845	1112	1080	1054	893	493	610
ENSGMOG00000001963	16	17	24	12	38	0	70
ENSGMOG00000022086	0	0	0	0	0	0	0
ENSGMOG00000019954	0	0	0	0	0	0	0
