ID	sample_4	sample_9	sample_15	sample_21	sample_34	sample_40	sample_47
ENSGMOG00000012492	17241	13958	17515	26967	23666	75717	29085
ENSGMOG00000012494	1233	1557	2607	1534	3119	2266	939
ENSGMOG00000012498	1053	621	462	535	361	1786	1431
ENSGMOG00000012500	4685	618	881	1441	699	1182	776
ENSGMOG00000012502	1945	857	816	705	494	511	1079
ENSGMOG00000012507	6449	4365	10667	8457	4790	2980	5216
ENSGMOG00000012510	1	0	0	0	1	0	0
ENSGMOG00000012512	214	214	162	132	137	91	114
ENSGMOG00000012513	4559	5787	4672	3188	4306	1926	1122
ENSGMOG00000012514	0	1	15	10	8	4	7
ENSGMOG00000020725	0	0	0	0	0	0	0
ENSGMOG00000021692	28	11	22	14	12	39	28
ENSGMOG00000020595	15	16	18	19	6	37	26
ENSGMOG00000012516	1856	765	959	406	422	743	1415
ENSGMOG00000012521	1577	879	592	761	406	1283	1623
ENSGMOG00000012522	1528	830	1032	512	642	619	1468
ENSGMOG00000012526	1	1	0	1	0	0	0
ENSGMOG00000012527	913	215	264	349	141	484	422
ENSGMOG00000012529	990	1611	827	748	2058	948	837
ENSGMOG00000012530	3064	4103	1915	4344	4301	3883	2642
ENSGMOG00000012532	2096	2229	1263	1825	1421	2742	2561
ENSGMOG00000012534	510	1201	335	499	590	100	314
ENSGMOG00000012537	193	124	127	204	369	169	179
ENSGMOG00000012538	766	867	579	471	682	834	742
ENSGMOG00000012540	406	268	199	755	218	528	573
ENSGMOG00000012541	3	0	7	629	1	1	0
ENSGMOG00000012542	33	49	107	30	184	124	58
ENSGMOG00000012546	8	17	11	0	3	6	3
ENSGMOG00000012549	0	0	0	0	2	0	0
ENSGMOG00000012550	0	0	0	0	0	0	0
ENSGMOG00000012553	3	18	1	0	0	15	11
ENSGMOG00000012555	24	21	14	47	32	38	77
ENSGMOG00000005485	940	1093	666	571	729	517	939
ENSGMOG00000005505	120	130	51	60	114	75	95
ENSGMOG00000005518	8	20	7	4	7	46	57
ENSGMOG00000005533	1	0	2	3	4	0	2
ENSGMOG00000005556	12	5	12	7	1	4	26
ENSGMOG00000005572	328	656	563	408	115	300	243
ENSGMOG00000005582	78	81	76	14	1	23	46
ENSGMOG00000005595	688	8012	1575	3047	12163	40	17
ENSGMOG00000005607	1060	757	509	928	462	1724	1360
ENSGMOG00000005626	239	110	99	195	131	247	385
ENSGMOG00000005653	383	268	285	318	175	1289	1043
ENSGMOG00000005670	13	5	11	2	6	16	19
ENSGMOG00000005702	1	0	1	0	2	3	0
ENSGMOG00000005738	0	0	0	0	3	3	0
ENSGMOG00000005763	2408	3302	11423	11218	8658	3062	3120
ENSGMOG00000005793	1571	1536	2454	1797	1652	1585	2309
ENSGMOG00000005842	31723	30803	57664	44704	92383	26150	30044
ENSGMOG00000005855	7	9	95	4	73	2	9
ENSGMOG00000005888	131	292	660	57	490	20	2
ENSGMOG00000005919	1794	1522	2144	1179	1213	1927	2706
ENSGMOG00000005956	1727	676	1545	745	1157	1103	1172
ENSGMOG00000005974	590	422	636	675	483	1103	976
ENSGMOG00000005990	365	270	284	348	246	587	606
ENSGMOG00000006002	786	425	384	239	285	277	703
ENSGMOG00000006053	0	1	2	0	0	3	1
ENSGMOG00000006061	7	69	5	25	48	5	0
ENSGMOG00000006071	84	309	1	80	500	176	17
ENSGMOG00000006078	1735	2859	888	2576	2988	1993	1902
ENSGMOG00000006114	268	316	324	173	244	207	447
ENSGMOG00000006149	33	48	29	27	4	47	23
ENSGMOG00000006171	2946	1351	2132	772	892	1551	3115
ENSGMOG00000006210	189	152	351	1069	167	167	287
ENSGMOG00000006238	7	1	5	12	2	2	1
ENSGMOG00000006249	145	254	201	348	272	50	84
ENSGMOG00000006267	765	364	412	338	301	399	499
ENSGMOG00000006293	532	428	414	430	356	1028	938
ENSGMOG00000006308	0	4	3	4	4	1	6
ENSGMOG00000006321	1473	172	282	324	176	64	35
ENSGMOG00000006328	24	136	45	37	335	35	17
ENSGMOG00000006350	2	1	3	0	2	0	3
ENSGMOG00000006369	3	2	1	0	0	0	4
ENSGMOG00000006397	19	5	54	2	58	3	9
