ID	sample_11	sample_17	sample_24	sample_30	sample_37	sample_50
ENSGMOG00000007718	50	9	1	29	10	19
ENSGMOG00000007722	0	0	0	2	2	3
ENSGMOG00000007727	530	377	215	205	376	30
ENSGMOG00000007739	2	1	0	0	0	0
ENSGMOG00000007745	4	1	4	4	0	0
ENSGMOG00000007751	236	79	106	91	188	119
ENSGMOG00000007767	71	40	11	26	60	3
ENSGMOG00000007776	33	14	3	5	22	2
ENSGMOG00000020617	19	6	10	26	23	2
ENSGMOG00000007780	224	110	259	111	437	115
ENSGMOG00000007782	35	47	37	31	42	25
ENSGMOG00000007785	33	47	26	43	40	6
ENSGMOG00000007790	3005	1061	1187	1900	2699	140
ENSGMOG00000007807	590	460	406	289	319	805
ENSGMOG00000007813	0	0	1	0	0	0
ENSGMOG00000007818	1110	877	793	120	460	34
ENSGMOG00000007822	1595	773	337	1012	2041	15
ENSGMOG00000020344	1621	728	1274	936	1175	947
ENSGMOG00000007827	6	2	10	10	1	60
ENSGMOG00000007829	196	148	242	196	133	489
ENSGMOG00000007833	153	104	77	63	91	77
ENSGMOG00000007839	6	3	3	8	24	0
ENSGMOG00000007843	389	142	542	216	233	8
ENSGMOG00000007854	0	0	0	1	0	0
ENSGMOG00000007860	1211	549	600	561	668	338
ENSGMOG00000007871	614	435	462	356	595	47
ENSGMOG00000007878	368	241	208	280	465	250
ENSGMOG00000007885	1570	1000	961	1352	988	304
ENSGMOG00000007894	59	68	1102	25	81	11
ENSGMOG00000012282	3219	1948	1458	1796	2436	317
ENSGMOG00000012286	43	30	44	9	16	2
ENSGMOG00000012289	75	30	37	48	25	18
ENSGMOG00000012292	1724	1447	1262	924	1352	3801
ENSGMOG00000012295	145	1	68	0	182	0
ENSGMOG00000020594	118	0	90	0	161	0
ENSGMOG00000012298	84	0	39	0	118	0
ENSGMOG00000012300	0	0	1	0	0	0
ENSGMOG00000012316	527	434	272	369	474	80
ENSGMOG00000012319	363	254	456	552	1041	182
ENSGMOG00000012321	105	100	57	29	50	0
ENSGMOG00000012323	1661	1716	791	493	580	77
ENSGMOG00000012334	905	583	736	590	496	223
ENSGMOG00000012335	1073	658	721	389	472	218
ENSGMOG00000012339	7	4	2	5	2	2
ENSGMOG00000012345	635	193	454	602	592	3571
ENSGMOG00000012349	1144	956	772	1012	1080	2071
ENSGMOG00000012351	2279	1406	1173	1506	1950	272
ENSGMOG00000012363	83	26	28	31	54	38
ENSGMOG00000012366	998	700	793	683	664	545
ENSGMOG00000012371	1515	869	1264	912	826	381
ENSGMOG00000012374	3442	2652	2933	2605	2755	1780
ENSGMOG00000012378	5	2	4	2	16	0
ENSGMOG00000012382	543	436	291	392	383	256
ENSGMOG00000012383	5376	2949	1944	2124	2745	1333
ENSGMOG00000012390	2	11	2	4	6	0
ENSGMOG00000012401	1165	450	751	685	899	195
ENSGMOG00000012404	22	23	1	42	26	15
ENSGMOG00000012405	638	134	205	343	442	1
