ID	sample_1	sample_6	sample_12	sample_18	sample_25	sample_31	sample_38	sample_44
ENSGMOG00000007051	145	193	220	174	249	176	190	149
ENSGMOG00000007067	22	61	3	35	37	28	21	7
ENSGMOG00000007079	573	1036	525	596	825	1068	849	698
ENSGMOG00000007147	1743	602	912	1089	1073	1285	1276	1248
ENSGMOG00000007217	4	5	5	14	5	5	3	1
ENSGMOG00000007132	136	209	256	101	182	213	192	224
ENSGMOG00000007143	0	0	3	0	1	1	1	0
ENSGMOG00000007164	0	0	0	0	0	0	0	0
ENSGMOG00000007175	0	0	0	0	0	0	0	0
ENSGMOG00000007184	0	0	0	0	0	0	0	0
ENSGMOG00000007187	56	28	58	29	60	70	51	92
ENSGMOG00000007195	71	78	320	165	221	219	424	275
ENSGMOG00000007199	74822	90907	81891	10095	20450	22473	76239	96006
ENSGMOG00000007205	68	323	452	157	180	530	267	300
ENSGMOG00000007220	1215	2202	915	968	748	904	1344	1362
ENSGMOG00000007223	660	575	696	597	467	604	1681	1150
ENSGMOG00000007225	66	91	282	512	129	202	80	124
ENSGMOG00000007234	10	3	32	9	23	30	27	27
ENSGMOG00000007261	3571	1659	4140	3584	3773	3687	5256	5411
ENSGMOG00000007291	17	7	52	32	28	15	47	40
ENSGMOG00000007296	20	17	43	27	31	27	60	52
ENSGMOG00000007304	314	1191	2716	4024	1807	2696	882	1679
ENSGMOG00000007312	488	720	1277	778	907	552	1004	1018
ENSGMOG00000007318	135	216	287	117	155	135	325	308
ENSGMOG00000007327	71	61	112	75	185	137	213	233
ENSGMOG00000007329	127	27	179	117	190	87	218	258
ENSGMOG00000007336	1120	309	1261	683	1485	902	1580	2005
ENSGMOG00000007377	5707	4105	5655	5474	3889	5260	3742	4558
ENSGMOG00000007396	168	116	215	105	143	109	380	497
ENSGMOG00000007400	163	35	94	72	262	278	123	101
ENSGMOG00000007412	589	493	936	793	856	864	1527	1396
ENSGMOG00000007433	5681	379	1826	901	805	1013	1487	1488
ENSGMOG00000007443	2575	2290	2276	1758	1896	1846	3194	3099
ENSGMOG00000007451	35	18	24	10	28	18	2	0
ENSGMOG00000007453	70	85	81	28	59	60	117	125
ENSGMOG00000007461	1482	2768	698	1036	1068	550	1984	2680
ENSGMOG00000007472	99	37	187	95	88	52	137	176
ENSGMOG00000007485	46	148	87	93	128	64	83	20
ENSGMOG00000007497	284	264	511	237	511	257	510	553
ENSGMOG00000007507	21567	29398	23555	13522	15924	22357	24600	29463
ENSGMOG00000007512	504	35	305	277	294	279	352	282
ENSGMOG00000007517	0	19	6	0	1	0	8	6
ENSGMOG00000007528	1407	1741	306	705	676	1156	3432	3378
ENSGMOG00000007531	236	626	377	197	289	265	814	783
ENSGMOG00000007538	72	111	92	12	100	81	127	108
ENSGMOG00000007548	0	0	1	0	2	0	0	0
ENSGMOG00000007554	8639	18547	7319	4835	3651	4220	9362	12109
ENSGMOG00000007559	23	18	52	12	10	20	2	19
ENSGMOG00000007566	10	4	10	1	9	4	9	14
ENSGMOG00000007576	24	46	63	20	25	35	136	149
ENSGMOG00000007594	0	4	4	1	0	2	1	0
ENSGMOG00000007597	0	0	0	0	0	0	0	0
ENSGMOG00000007601	190	252	157	153	112	160	146	135
ENSGMOG00000007617	78	68	69	81	102	130	44	33
ENSGMOG00000007621	15	24	5	4	14	40	13	12
ENSGMOG00000007628	511	422	1303	458	579	526	924	1161
ENSGMOG00000007641	70	72	163	57	142	146	128	112
ENSGMOG00000021556	2	0	0	1	2	0	0	0
ENSGMOG00000007646	4	3	5	2	8	5	10	5
ENSGMOG00000007651	8464	10452	6677	9974	5168	8804	1600	1664
ENSGMOG00000007657	1758	1197	2475	1184	2359	2348	2225	2527
ENSGMOG00000007663	6	3	0	3	8	3	0	0
ENSGMOG00000007667	245	237	260	209	246	202	450	408
ENSGMOG00000007677	224	117	414	209	335	174	319	660
ENSGMOG00000007680	255	515	278	129	346	166	864	831
ENSGMOG00000007689	866	977	1065	846	916	608	1636	1463
ENSGMOG00000007694	2175	2301	2369	1235	1297	1807	1450	2150
ENSGMOG00000007702	26273	28237	14284	19037	6118	12713	29808	27913
ENSGMOG00000007714	11	1	1	0	2	1	0	2
ENSGMOG00000007718	20	21	26	1	22	15	34	21
ENSGMOG00000007722	0	0	0	0	0	0	0	0
ENSGMOG00000007727	332	115	525	210	237	368	763	880
ENSGMOG00000007739	0	0	0	0	0	0	0	0
ENSGMOG00000007745	0	2	0	0	1	0	17	4
ENSGMOG00000007751	149	113	124	74	101	220	438	446
ENSGMOG00000007767	25	15	49	18	45	57	30	52
ENSGMOG00000007776	48	23	36	4	8	16	56	24
ENSGMOG00000020617	27	10	6	26	18	14	19	11
ENSGMOG00000007780	157	161	164	166	130	380	261	200
ENSGMOG00000007782	37	36	61	17	47	36	69	51
ENSGMOG00000007785	37	30	67	22	27	30	70	67
ENSGMOG00000007790	3157	1431	1393	1330	2828	2877	1371	1395
ENSGMOG00000007807	357	526	599	347	370	361	839	717
ENSGMOG00000007813	0	3	0	0	0	0	2	0
ENSGMOG00000007818	392	178	1046	428	238	435	474	308
ENSGMOG00000007822	1497	646	924	497	1572	2350	377	291
ENSGMOG00000020344	1070	1954	1094	1167	1080	1204	1486	1078
ENSGMOG00000007827	6	24	11	7	5	12	12	19
ENSGMOG00000007829	160	382	227	215	163	161	346	326
ENSGMOG00000007833	88	118	160	82	107	84	222	207
ENSGMOG00000007839	10	0	3	0	4	37	4	3
ENSGMOG00000007843	228	174	181	483	352	309	243	146
ENSGMOG00000007854	0	0	2	0	0	0	0	0
ENSGMOG00000007860	910	1105	770	606	930	756	1112	1387
ENSGMOG00000007871	342	231	445	418	491	531	449	582
ENSGMOG00000007878	238	284	419	174	400	501	353	388
ENSGMOG00000007885	699	702	2033	672	1788	1118	912	958
ENSGMOG00000007894	42	5	92	1281	50	78	23	29
ENSGMOG00000012282	2297	1113	2024	1204	2659	2240	1520	1838
ENSGMOG00000012286	60	6	30	15	42	25	37	49
ENSGMOG00000012289	55	17	38	25	83	32	49	53
ENSGMOG00000012292	1282	2578	1519	1073	1205	1505	2536	1934
ENSGMOG00000012295	90	24	1	66	1	190	1	0
ENSGMOG00000020594	81	63	0	78	1	186	1	0
ENSGMOG00000012298	66	73	1	69	1	137	0	1
ENSGMOG00000012300	0	0	0	0	0	0	0	1
ENSGMOG00000012316	307	123	538	267	425	374	535	490
ENSGMOG00000012319	272	282	332	450	681	925	242	347
ENSGMOG00000012321	27	10	123	39	71	43	66	50
ENSGMOG00000012323	458	282	1931	731	844	721	1007	644
ENSGMOG00000012334	646	492	691	424	616	533	1058	1073
ENSGMOG00000012335	832	477	892	454	524	411	1039	1059
ENSGMOG00000012339	4	0	8	7	4	2	1	13
ENSGMOG00000012345	302	583	462	421	733	705	1480	7660
ENSGMOG00000012349	1146	2067	1211	806	961	1180	1297	1412
ENSGMOG00000012351	799	543	1429	879	1982	2050	2682	3266
ENSGMOG00000012363	47	93	40	18	43	65	81	46
ENSGMOG00000012366	490	415	870	551	789	702	1810	1987
ENSGMOG00000012371	1069	693	1221	1026	1173	981	1551	1395
ENSGMOG00000012374	2488	3153	3430	2459	2811	2870	3769	3427
ENSGMOG00000012378	0	1	0	5	1	2	4	4
ENSGMOG00000012382	239	252	492	242	350	430	1331	1313
ENSGMOG00000012383	5288	4162	4361	1298	3055	2794	3738	4897
ENSGMOG00000012390	3	4	7	2	10	5	14	14
ENSGMOG00000012401	722	927	623	730	951	995	299	375
ENSGMOG00000012404	9	30	10	2	27	37	17	34
ENSGMOG00000012405	268	205	209	310	558	399	151	165
ENSGMOG00000012409	518	487	677	304	983	631	1011	1108
ENSGMOG00000012417	2	2	3	2	6	1	6	11
ENSGMOG00000012423	0	0	0	0	0	0	0	0
ENSGMOG00000012426	189	54	538	25	33	120	605	1508
ENSGMOG00000012440	8	56	86	128	22	29	30	16
ENSGMOG00000012442	0	0	0	0	0	0	0	1
ENSGMOG00000012445	49	12	42	12	55	32	14	13
ENSGMOG00000012452	747	332	897	743	719	728	1457	1452
ENSGMOG00000012456	160	162	247	97	137	190	571	555
ENSGMOG00000012461	1494	1466	1610	1076	1198	1078	1937	2128
ENSGMOG00000012463	1141	1707	786	1405	775	912	664	538
ENSGMOG00000012465	3316	3617	2312	2748	1528	1424	4570	4118
ENSGMOG00000012467	79	151	66	59	55	59	139	90
ENSGMOG00000012470	0	6	2	1	1	6	1	1
ENSGMOG00000012471	3361	814	2077	1248	1710	1683	2719	3223
ENSGMOG00000012476	1044	445	1536	894	1124	822	1933	2040
ENSGMOG00000012479	7	0	2	5	11	5	2	3
ENSGMOG00000012482	1	1	3	2	2	0	6	0
ENSGMOG00000012485	2	0	1	1	2	0	0	0
ENSGMOG00000012487	5	12	6	2	9	4	9	6
ENSGMOG00000012489	1008	216	761	548	722	483	934	794
ENSGMOG00000012492	18649	28623	18036	17473	20232	22749	68811	31255
ENSGMOG00000012494	1803	1420	2547	1179	2170	4193	1917	1167
ENSGMOG00000012498	567	487	882	451	714	526	1987	1695
ENSGMOG00000012500	507	751	752	1262	1886	1059	1274	492
ENSGMOG00000012502	782	263	1137	872	934	804	1328	1278
ENSGMOG00000012507	5880	4828	11177	5454	6310	6645	3454	6255
ENSGMOG00000012510	0	0	1	1	0	1	0	1
ENSGMOG00000012512	194	223	211	93	115	103	122	89
ENSGMOG00000012513	10635	7985	3397	1056	1411	2532	1185	583
ENSGMOG00000012514	2	0	3	6	6	3	4	19
ENSGMOG00000020725	0	0	0	0	0	0	0	0
ENSGMOG00000021692	11	52	20	4	26	9	34	23
ENSGMOG00000020595	11	1	17	4	25	7	33	25
ENSGMOG00000012516	721	617	1539	546	1301	776	1571	1375
ENSGMOG00000012521	748	198	1158	467	601	588	1255	1740
ENSGMOG00000012522	986	355	1472	633	1289	1008	1471	1686
ENSGMOG00000012526	0	0	8	1	0	1	0	0
ENSGMOG00000012527	315	151	432	406	230	224	805	575
ENSGMOG00000012529	1328	2171	1149	827	1856	2177	1157	958
ENSGMOG00000012530	4554	2471	2680	3289	3963	5046	3887	2753
ENSGMOG00000012532	2354	1136	1635	1308	1967	1630	2944	2775
ENSGMOG00000012534	508	215	384	848	761	834	250	353
ENSGMOG00000012537	264	263	145	135	338	332	111	172
ENSGMOG00000012538	1041	517	915	385	638	952	1068	953
ENSGMOG00000012540	275	180	428	483	532	313	592	658
ENSGMOG00000012541	0	0	2	597	701	2	0	2
ENSGMOG00000012542	83	55	98	7	89	338	139	28
ENSGMOG00000012546	5	5	8	0	3	4	2	1
ENSGMOG00000012549	0	0	0	0	0	0	0	3
ENSGMOG00000012550	0	0	0	0	0	0	0	0
ENSGMOG00000012553	3	38	1	1	9	0	18	7
ENSGMOG00000012555	28	6	38	75	35	47	95	91
ENSGMOG00000005485	766	466	925	726	741	1109	1131	895
ENSGMOG00000005505	111	57	99	37	144	153	94	113
ENSGMOG00000005518	20	23	48	3	6	14	45	57
ENSGMOG00000005533	0	4	0	0	0	0	0	0
ENSGMOG00000005556	13	11	18	4	9	29	18	26
ENSGMOG00000005572	590	813	608	350	386	346	305	365
ENSGMOG00000005582	113	12	84	9	12	21	101	146
ENSGMOG00000005595	2745	5316	2165	4974	12520	14730	25	20
ENSGMOG00000005607	749	824	695	609	594	570	1524	1665
ENSGMOG00000005626	144	87	139	139	126	209	227	377
ENSGMOG00000005653	311	601	362	231	221	182	1174	1078
ENSGMOG00000005670	16	5	11	10	15	14	25	20
ENSGMOG00000005702	1	0	2	2	0	0	1	0
ENSGMOG00000005738	0	0	0	0	0	0	0	0
ENSGMOG00000005763	3121	2867	11214	8692	7691	9007	3578	4067
ENSGMOG00000005793	1457	1327	2738	1386	2126	2008	1897	2237
ENSGMOG00000005842	43253	61397	51550	32316	54474	82194	21010	34623
ENSGMOG00000005855	8	2	59	4	24	99	13	6
ENSGMOG00000005888	197	103	726	59	356	510	15	14
ENSGMOG00000005919	1586	666	3297	947	1504	1968	2114	2811
ENSGMOG00000005956	1362	1492	1552	472	1151	1359	930	1087
ENSGMOG00000005974	606	864	754	477	519	618	925	1069
ENSGMOG00000005990	308	321	412	234	286	249	618	671
ENSGMOG00000006002	362	115	534	278	491	472	515	696
