ID	sample_3	sample_8	sample_14	sample_20	sample_27	sample_33	sample_39
ENSGMOG00000012538	995	822	972	404	932	811	1462
ENSGMOG00000012540	288	535	396	583	892	298	335
ENSGMOG00000012541	1	320	1	596	990	3	0
ENSGMOG00000012542	117	220	214	214	117	106	45
ENSGMOG00000012546	11	6	2	8	3	2	2
ENSGMOG00000012549	0	0	0	0	0	0	0
ENSGMOG00000012550	0	0	0	0	0	0	0
ENSGMOG00000012553	2	9	1	4	16	0	42
ENSGMOG00000012555	58	44	32	36	62	41	42
ENSGMOG00000005485	1006	994	799	608	1121	903	50
ENSGMOG00000005505	134	90	63	64	243	86	26
ENSGMOG00000005518	10	52	40	2	6	11	133
ENSGMOG00000005533	0	3	2	0	0	2	0
ENSGMOG00000005556	19	16	31	1	17	8	4
ENSGMOG00000005572	460	603	598	483	648	141	746
ENSGMOG00000005582	111	61	65	2	20	7	6
ENSGMOG00000005595	4059	11077	3346	5422	18757	14268	12
ENSGMOG00000005607	857	943	618	960	1056	445	2976
ENSGMOG00000005626	188	149	141	199	205	157	194
ENSGMOG00000005653	487	415	360	455	385	183	2269
ENSGMOG00000005670	25	24	10	0	11	4	3
ENSGMOG00000005702	3	1	0	0	0	2	3
ENSGMOG00000005738	0	0	0	0	0	0	0
ENSGMOG00000005763	3629	3743	12615	9549	12206	8916	2547
ENSGMOG00000005793	1840	1853	2722	1702	3094	1696	914
ENSGMOG00000005842	48701	34743	56014	46877	102684	80430	52238
ENSGMOG00000005855	5	6	83	1	45	88	3
ENSGMOG00000005888	149	219	825	58	528	672	2
ENSGMOG00000005919	1729	1774	2750	1096	2131	1528	1008
ENSGMOG00000005956	1753	1132	1262	730	1624	1119	1929
ENSGMOG00000005974	662	648	687	645	850	468	1766
ENSGMOG00000005990	348	420	332	364	491	161	400
ENSGMOG00000006002	501	530	501	246	644	371	31
ENSGMOG00000006053	3	5	2	0	5	2	8
ENSGMOG00000006061	26	51	9	21	83	61	10
ENSGMOG00000006071	274	293	2	53	577	439	331
ENSGMOG00000006078	1802	3091	1216	3175	4170	3161	1099
