ID	sample_5	sample_16	sample_22	sample_28	sample_35	sample_48
ENSGMOG00000012463	866	650	1767	697	1047	651
ENSGMOG00000012465	4121	2453	2845	1774	1797	5709
ENSGMOG00000012467	75	45	66	68	49	130
ENSGMOG00000012470	1	0	7	5	8	2
ENSGMOG00000012471	3100	2010	1505	1606	2424	3550
ENSGMOG00000012476	1522	1595	1096	1356	1090	2574
ENSGMOG00000012479	7	6	0	13	4	7
ENSGMOG00000012482	3	0	0	7	0	1
ENSGMOG00000012485	6	1	4	0	0	8
ENSGMOG00000012487	14	5	5	0	6	6
ENSGMOG00000012489	1337	859	701	688	860	908
ENSGMOG00000012492	18779	18452	21527	25760	24540	30024
ENSGMOG00000012494	1092	2912	1150	2336	3923	1090
ENSGMOG00000012498	1061	841	564	654	541	1520
ENSGMOG00000012500	4404	1363	1482	1670	1308	695
ENSGMOG00000012502	1746	1253	1119	1081	858	1533
ENSGMOG00000012507	5063	12197	7460	8120	5999	5823
ENSGMOG00000012510	1	0	0	0	0	0
ENSGMOG00000012512	314	228	114	160	210	147
ENSGMOG00000012513	4701	5267	2323	2734	5509	985
ENSGMOG00000012514	2	32	9	6	6	5
ENSGMOG00000020725	0	0	0	0	0	0
ENSGMOG00000021692	15	30	13	29	11	41
ENSGMOG00000020595	24	27	4	34	8	31
ENSGMOG00000012516	1644	1572	667	977	717	1800
ENSGMOG00000012521	1671	1299	729	782	725	2300
ENSGMOG00000012522	1586	1610	822	1208	1624	2237
ENSGMOG00000012526	0	3	0	2	0	2
ENSGMOG00000012527	838	389	412	173	238	636
ENSGMOG00000012529	1020	1137	1145	1582	2506	930
ENSGMOG00000012530	3392	3056	4620	3487	7736	3001
ENSGMOG00000012532	2388	1934	2066	2038	2574	3152
ENSGMOG00000012534	493	685	1598	831	1230	504
ENSGMOG00000012537	271	198	197	378	385	167
ENSGMOG00000012538	824	888	558	644	1151	874
ENSGMOG00000012540	400	370	594	655	358	786
ENSGMOG00000012541	0	0	669	859	0	0
ENSGMOG00000012542	120	64	15	486	107	13
ENSGMOG00000012546	8	0	0	5	8	3
ENSGMOG00000012549	1	0	0	0	2	1
ENSGMOG00000012550	0	0	0	0	0	0
ENSGMOG00000012553	11	0	0	8	1	8
ENSGMOG00000012555	50	32	49	40	33	118
ENSGMOG00000005485	886	982	1102	795	1251	1223
ENSGMOG00000005505	149	109	71	185	259	147
ENSGMOG00000005518	13	34	6	8	15	32
ENSGMOG00000005533	1	2	0	0	2	0
ENSGMOG00000005556	21	7	20	16	8	38
ENSGMOG00000005572	279	646	387	410	189	314
ENSGMOG00000005582	53	122	9	5	0	76
ENSGMOG00000005595	1819	3499	7070	10932	23897	32
ENSGMOG00000005607	991	681	726	700	534	1546
ENSGMOG00000005626	211	186	192	189	178	479
ENSGMOG00000005653	478	342	219	313	181	1154
ENSGMOG00000005670	25	17	4	20	12	22
ENSGMOG00000005702	0	0	4	0	0	0
ENSGMOG00000005738	0	0	0	0	0	0
ENSGMOG00000005763	2844	14838	8525	9396	10007	5172
ENSGMOG00000005793	2171	3460	1789	2346	2079	2983
ENSGMOG00000005842	30137	52607	35025	73665	81571	39386
ENSGMOG00000005855	15	92	6	39	105	8
ENSGMOG00000005888	91	945	69	359	736	22
ENSGMOG00000005919	1952	3674	1248	1618	2285	3356
ENSGMOG00000005956	1708	1499	628	1355	1344	1223
ENSGMOG00000005974	587	717	628	683	512	1060
ENSGMOG00000005990	408	421	288	419	240	718
ENSGMOG00000006002	697	693	409	495	557	884
ENSGMOG00000006053	0	7	2	1	1	0
ENSGMOG00000006061	9	3	70	53	55	3
ENSGMOG00000006071	130	3	122	432	449	35
ENSGMOG00000006078	1842	1532	3484	2938	3845	2348
ENSGMOG00000006114	365	464	395	543	497	448
ENSGMOG00000006149	42	14	46	70	10	8
ENSGMOG00000006171	2854	3482	1256	2916	1701	3082
ENSGMOG00000006210	174	238	793	295	225	226
ENSGMOG00000006238	2	4	17	9	10	2
ENSGMOG00000006249	150	350	334	502	439	101
ENSGMOG00000006267	758	482	373	499	396	654
ENSGMOG00000006293	513	482	374	549	462	980
ENSGMOG00000006308	3	3	4	2	12	1
ENSGMOG00000006321	1084	493	256	206	137	37
ENSGMOG00000006328	35	92	131	197	425	12
ENSGMOG00000006350	5	6	6	1	4	0
ENSGMOG00000006369	3	3	5	0	0	2
ENSGMOG00000006397	17	80	16	82	115	10
ENSGMOG00000006411	2825	2073	1659	1775	2365	2864
ENSGMOG00000006428	0	0	0	0	0	0
ENSGMOG00000006439	345	1103	953	924	1272	391
ENSGMOG00000006452	1	0	1	0	0	0
ENSGMOG00000006465	267	291	417	252	357	296
ENSGMOG00000006472	139	334	539	497	378	157
ENSGMOG00000006481	387	508	293	155	457	368
ENSGMOG00000006525	257	279	148	56	210	249
ENSGMOG00000006562	57	56	36	71	95	88
ENSGMOG00000006574	13637	6733	6698	5922	8274	12566
ENSGMOG00000006620	426	595	269	782	416	409
ENSGMOG00000020453	13	28	0	10	15	18
ENSGMOG00000006644	191	268	148	198	148	481
ENSGMOG00000006653	0	0	0	1	0	3
ENSGMOG00000006662	642	907	486	572	425	1170
ENSGMOG00000006678	274	456	333	765	433	399
ENSGMOG00000006694	2	0	1	8	6	4
ENSGMOG00000006718	1	0	0	2	0	0
ENSGMOG00000006726	0	0	0	0	0	2
ENSGMOG00000006756	6	0	0	0	2	1
ENSGMOG00000006784	0	6	0	0	4	0
ENSGMOG00000006794	247	145	150	180	216	341
ENSGMOG00000006828	911	1017	1015	731	1073	324
ENSGMOG00000006874	1796	1598	995	1293	1186	4150
ENSGMOG00000006952	4333	2786	1965	2523	2929	5257
ENSGMOG00000007009	160	109	125	156	122	471
ENSGMOG00000001240	1	2	0	0	4	0
ENSGMOG00000001312	0	0	0	0	0	0
ENSGMOG00000019951	19	4	6	2	13	10
ENSGMOG00000001318	1	0	3	8	3	3
