,sample_1,sample_2,sample_3
ENSGMOG00000000370,2.020836678,2.06163411,2.28550345
ENSGMOG00000000371,0.606251003,1.01099365,0.973705612
ENSGMOG00000000372,7.050474631,8.028478984,7.992500231
ENSGMOG00000000373,0.089814963,0.158587239,0.094665823
ENSGMOG00000000374,27.4160176,30.64698397,27.58832567
ENSGMOG00000000375,3.031255017,1.803929846,3.989488271
ENSGMOG00000000376,0.898149635,1.05064046,1.014276679
ENSGMOG00000000377,25.77689451,23.70879226,23.13903197
ENSGMOG00000000378,0.022453741,0.07929362,0.081142134
ENSGMOG00000000379,0.022453741,0.138763834,0.189331647
ENSGMOG00000000380,3.63750602,3.806093741,3.597301288
ENSGMOG00000000381,39.92275126,50.37127185,38.20442158
ENSGMOG00000000382,4.176395801,4.440442697,4.638625345
ENSGMOG00000000383,6.601399814,5.90737466,7.194602576
ENSGMOG00000000384,3.210884944,2.656336256,3.462064398
ENSGMOG00000000385,4.064127096,3.310508618,4.00301196
ENSGMOG00000000386,1.010418339,1.149757484,1.244179393
ENSGMOG00000000387,1.122687043,1.169580889,1.13598988
ENSGMOG00000000388,0.157176186,0.059470215,0.175807958
ENSGMOG00000000389,43.67252598,46.88235259,41.24725161
ENSGMOG00000000390,0.134722445,1.605695797,1.825698022
ENSGMOG00000000391,94.46288782,91.82201149,97.89798506
ENSGMOG00000000392,73.67072378,76.55798972,80.0602392
ENSGMOG00000000393,0.718519708,0.535231932,0.879039788
ENSGMOG00000000394,26.98939652,24.36296462,27.791181
ENSGMOG00000000395,38.73270299,39.15122468,39.05641399
ENSGMOG00000000396,6.354408665,5.847904445,6.545465502
ENSGMOG00000000397,28.83060327,25.53254551,33.90388846
ENSGMOG00000000398,0.067361223,0.198234049,0.14876058
ENSGMOG00000000399,4.962276731,3.409625643,3.42149333
ENSGMOG00000000400,70.75173746,75.92364076,69.25481164
ENSGMOG00000000401,2.784263867,2.06163411,2.096171803
ENSGMOG00000000402,33.23153648,38.29881827,25.43805911
ENSGMOG00000000403,0.022453741,0,0
ENSGMOG00000000404,3.749774724,5.510906562,4.327580497
ENSGMOG00000000405,47.310032,45.01895253,47.14358004
ENSGMOG00000000406,64.17279139,77.37074932,60.30212949
ENSGMOG00000000407,321.3130318,365.4642927,312.6000725
ENSGMOG00000000408,15.58289616,15.20455156,15.30881601
ENSGMOG00000000409,0.718519708,0.376644693,0.297521159
ENSGMOG00000000410,0.561343522,0.099117024,0.43275805
ENSGMOG00000000411,0.134722445,0.218057454,0.28399747
ENSGMOG00000000412,9.228487495,8.722298156,10.2509563
ENSGMOG00000000413,42.81928383,50.94615059,44.80398183
ENSGMOG00000000414,36.2627915,35.6226586,34.91816514
ENSGMOG00000000415,0.493982299,0.555055337,0.71675552
ENSGMOG00000000416,172.08547,204.9343598,175.0235837
ENSGMOG00000000417,15.15627508,15.73978349,15.47110028
ENSGMOG00000000418,0.224537409,0.158587239,0.162284269
ENSGMOG00000000419,0.24699115,0.277527669,0.256950092
ENSGMOG00000000420,9.385663681,6.581370427,8.208879255
ENSGMOG00000000421,122.956685,149.3495325,123.822897
ENSGMOG00000000422,61.29871256,58.22134019,54.52751426
ENSGMOG00000000423,0.089814963,0.07929362,0.027047378
ENSGMOG00000000424,32.91718411,31.12274569,33.95798321
ENSGMOG00000000425,0.718519708,0.455938313,0.513900184
ENSGMOG00000000426,3.031255017,3.052804354,2.7182615
ENSGMOG00000000427,40.97807708,41.94632477,44.7228397
ENSGMOG00000000428,0.202083668,0.07929362,0.027047378
ENSGMOG00000000429,49.06142379,49.10257394,49.92945998
ENSGMOG00000000430,1.234955748,0.713642576,1.014276679
ENSGMOG00000000431,0.044907482,0,0.027047378
ENSGMOG00000000432,7.297465781,6.95801512,6.897081417
ENSGMOG00000000433,3.300699907,2.557219232,2.85349839
