	sample_13	sample_14	sample_15
ENSGMOG00000000283	0	0	0
ENSGMOG00000000284	0.084753912	0.040265939	0.096331335
ENSGMOG00000000285	5.203890185	6.543215115	6.800992273
ENSGMOG00000000286	2.220552489	2.113961806	2.061490576
ENSGMOG00000000287	0.305114083	0.281861574	0.385325341
ENSGMOG00000000288	4.542809673	4.026593917	3.699123276
ENSGMOG00000000289	1.779832148	1.811967263	1.753230303
ENSGMOG00000000290	0.033901565	0.322127513	0.231195205
ENSGMOG00000000291	87.72029872	79.18296937	85.00277028
ENSGMOG00000000292	4.271597155	4.570184096	4.585371561
ENSGMOG00000000293	0.949243812	0.50332424	0.346792807
ENSGMOG00000000294	1.373013371	1.489839749	1.329372427
ENSGMOG00000000295	16.66261906	19.3276508	16.81945115
ENSGMOG00000000296	2.830780654	3.040078407	2.947738861
ENSGMOG00000000297	10.78069758	10.38861231	10.80837582
ENSGMOG00000000298	13.44197041	11.77778721	12.40747599
ENSGMOG00000000299	0.033901565	0.02013297	0.057798801
ENSGMOG00000000300	0	0	0
ENSGMOG00000000301	188.4248967	174.774309	172.6064866
ENSGMOG00000000302	3.237599431	2.637419016	3.236732867
ENSGMOG00000000303	12.37407112	15.36145579	13.79464722
ENSGMOG00000000304	0.084753912	0.181196726	0.019266267
ENSGMOG00000000305	0.033901565	0.040265939	0
ENSGMOG00000000306	0	0	0
ENSGMOG00000000307	0	0	0
ENSGMOG00000000308	31.95222475	34.30658017	34.48661804
ENSGMOG00000000309	13.25551181	13.26762696	13.85244602
ENSGMOG00000000310	46.64855306	43.72880994	51.15193905
ENSGMOG00000000311	0	0.080531878	0
ENSGMOG00000000312	40.32591124	34.46764393	34.89120965
ENSGMOG00000000313	0	0	0
ENSGMOG00000000314	0.084753912	0.02013297	0
ENSGMOG00000000315	0.169507824	0.181196726	0.250461472
ENSGMOG00000000316	24.222668	20.2537674	19.80572254
ENSGMOG00000000317	16.2388495	17.83781105	17.12771142
ENSGMOG00000000318	2254.420153	2702.367975	2545.805997
ENSGMOG00000000319	0.881440683	0.885850662	0.751384415
ENSGMOG00000000320	21.40883812	24.3608932	25.08467972
ENSGMOG00000000321	93.07674595	90.83995876	96.94785586
ENSGMOG00000000322	2.44091266	4.34872143	3.988117282
ENSGMOG00000000323	26.07030327	23.25357987	28.39847765
ENSGMOG00000000324	10.50948506	11.09326624	10.13405648
ENSGMOG00000000325	33.90156472	34.34684611	31.57741172
ENSGMOG00000000326	446.670066	477.231911	485.1824034
ENSGMOG00000000327	2.525666572	2.798482772	3.101868997
ENSGMOG00000000328	22.17162333	23.47504254	20.61490576
ENSGMOG00000000329	0.152557041	0.120797818	0.038532534
ENSGMOG00000000330	37.42732746	34.62870768	31.84713945
ENSGMOG00000000331	109.4173001	95.10814832	93.38359645
ENSGMOG00000000332	0.186458606	0.120797818	0.096331335
ENSGMOG00000000333	0.542425036	0.221462665	0.385325341
ENSGMOG00000000334	0	0.02013297	0.096331335
ENSGMOG00000000335	21.44273969	23.07238314	22.96539034
ENSGMOG00000000336	2.72907596	2.536754168	1.926626706
ENSGMOG00000000337	12.74698834	13.08643023	13.69831588
ENSGMOG00000000338	11.40787653	14.09307871	14.7386943
ENSGMOG00000000339	0.305114083	0.281861574	0.192662671
ENSGMOG00000000340	14.12000171	14.13334465	12.52307359
ENSGMOG00000000341	8.729652916	10.589942	10.78910956
ENSGMOG00000000342	31.64711067	32.41408103	30.69116343
ENSGMOG00000000343	0.101704694	0.161063757	0.096331335
ENSGMOG00000000344	0.152557041	0.281861574	0.250461472
ENSGMOG00000000345	0	0	0.019266267
ENSGMOG00000000346	0.728883642	0.301994544	0.46239041
ENSGMOG00000000347	15.57776899	15.56278549	20.15251535
ENSGMOG00000000348	3.746122902	3.724599373	3.506460605
ENSGMOG00000000349	7.492245804	7.630395472	7.051453745
ENSGMOG00000000350	50.86929787	45.7421069	55.39051781
ENSGMOG00000000351	0.237310953	0.301994544	0.096331335
ENSGMOG00000000352	16.39140654	17.61634839	17.08917888
ENSGMOG00000000353	52.54742532	56.75484126	51.80699213
ENSGMOG00000000354	26.93479317	26.39432312	24.89201705
ENSGMOG00000000355	69.05748734	49.2452436	59.26303749
ENSGMOG00000000356	8.03467084	7.529730624	9.363405793
ENSGMOG00000000357	19.95107084	20.53562898	21.86721312
ENSGMOG00000000358	20.22228336	22.06573466	23.71677475
ENSGMOG00000000359	1.57642276	1.791834293	1.502768831
ENSGMOG00000000360	27.64672603	30.1189225	33.09944681
ENSGMOG00000000361	0.169507824	0.161063757	0.134863869
ENSGMOG00000000362	22.61234367	22.38786218	20.07545028
ENSGMOG00000000363	123.9780222	113.8116771	122.0132693
ENSGMOG00000000364	10.72984524	10.3282134	11.44416264
ENSGMOG00000000365	16.27275107	13.99241386	16.53045714
ENSGMOG00000000366	20.6630037	21.44161261	17.43597169
ENSGMOG00000000367	0	0	0
ENSGMOG00000000368	11.03495932	12.58310599	14.29557016
ENSGMOG00000000369	19.08658094	20.61616085	20.8846335
ENSGMOG00000000370	2.407011095	3.422604829	2.080756843
ENSGMOG00000000371	0.762785206	1.026781449	1.194508558
ENSGMOG00000000372	10.42473115	8.858506617	10.01845887
ENSGMOG00000000373	0.050852347	0.100664848	0.096331335
ENSGMOG00000000374	23.64634139	24.1595635	23.92870369
ENSGMOG00000000375	3.237599431	4.288322521	3.718389543
ENSGMOG00000000376	0.93229303	0.523457209	0.674319347
ENSGMOG00000000377	20.18838179	24.52195695	27.91682097
ENSGMOG00000000378	0.067803129	0	0.057798801
ENSGMOG00000000379	0.084753912	0.221462665	0.115597602
ENSGMOG00000000380	3.847827596	3.583668586	2.832141258
